"date","userType","users","sessions","pageviews","sessionDuration","bounces","X3pg","Buypg","SocialShare","RCA","viewName"
2015-11-01,"New Visitor",190124,190124,326953,16138551,70204,27607,17975,96,2269,"F: FIFA MKT"
2015-11-01,"Returning Visitor",99345,127016,295053,27706820,64813,28331,8044,43,1151,"F: FIFA MKT"
2015-11-02,"New Visitor",182922,182922,310683,14685268,64632,25422,13446,117,2056,"F: FIFA MKT"
2015-11-02,"Returning Visitor",99772,126078,280914,29418269,64089,27180,5445,21,597,"F: FIFA MKT"
2015-11-03,"New Visitor",194035,194035,319154,15113751,82074,25369,20148,75,1598,"F: FIFA MKT"
2015-11-03,"Returning Visitor",117906,144010,298132,27399206,81179,28459,5636,64,703,"F: FIFA MKT"
2015-11-04,"New Visitor",216207,216207,345184,15496642,102041,26051,33168,149,3782,"F: FIFA MKT"
2015-11-04,"Returning Visitor",130979,161175,321413,27822318,92484,29077,6776,53,1257,"F: FIFA MKT"
2015-11-05,"New Visitor",161026,161026,280775,13907169,62554,24346,14522,107,3069,"F: FIFA MKT"
2015-11-05,"Returning Visitor",93698,117107,247351,22953767,62725,23334,5636,43,767,"F: FIFA MKT"
2015-11-06,"New Visitor",169241,169241,288617,13605500,67370,24133,12115,107,2110,"F: FIFA MKT"
2015-11-06,"Returning Visitor",94657,117874,242322,24049709,64259,22844,5114,64,671,"F: FIFA MKT"
2015-11-07,"New Visitor",200939,200939,329063,15443698,80913,26957,18486,96,2184,"F: FIFA MKT"
2015-11-07,"Returning Visitor",107763,134453,283982,24773138,72176,27148,6883,11,767,"F: FIFA MKT"
2015-11-08,"New Visitor",180109,180109,306017,15052464,68660,25231,16867,107,2621,"F: FIFA MKT"
2015-11-08,"Returning Visitor",97417,123116,267553,25087593,66284,24847,6180,75,927,"F: FIFA MKT"
2015-11-09,"New Visitor",161367,161367,278293,14021111,57110,23174,11305,107,1929,"F: FIFA MKT"
2015-11-09,"Returning Visitor",91578,116084,256951,25636081,58974,25689,4709,43,703,"F: FIFA MKT"
2015-11-10,"New Visitor",157574,157574,270749,13110563,57280,23281,11283,75,1790,"F: FIFA MKT"
2015-11-10,"Returning Visitor",86826,108945,248321,26404932,54563,24645,4528,53,575,"F: FIFA MKT"
2015-11-11,"New Visitor",162475,162475,275512,13393906,62938,22759,11092,117,1662,"F: FIFA MKT"
2015-11-11,"Returning Visitor",110384,135412,292698,25917048,75255,27223,4901,75,756,"F: FIFA MKT"
2015-11-12,"New Visitor",147090,147090,252497,12114818,52592,21097,11507,107,1513,"F: FIFA MKT"
2015-11-12,"Returning Visitor",81563,103320,230485,22285657,53583,22045,4347,32,490,"F: FIFA MKT"
2015-11-13,"New Visitor",166215,166215,277163,12607688,67583,22588,13446,96,1598,"F: FIFA MKT"
2015-11-13,"Returning Visitor",99281,122338,256312,23973889,66955,24272,4763,43,735,"F: FIFA MKT"
2015-11-14,"New Visitor",178308,178308,304781,13841024,68031,25806,12850,96,1865,"F: FIFA MKT"
2015-11-14,"Returning Visitor",99835,126227,277259,26995229,67637,27138,5061,64,703,"F: FIFA MKT"
2015-11-15,"New Visitor",179608,179608,303065,14472033,66518,25518,14874,75,1971,"F: FIFA MKT"
2015-11-15,"Returning Visitor",96735,123862,276748,28183250,64419,26722,4880,75,693,"F: FIFA MKT"
2015-11-16,"New Visitor",160866,160866,267787,13212380,56407,22013,12701,75,1694,"F: FIFA MKT"
2015-11-16,"Returning Visitor",89170,113793,256962,27135446,57270,25422,4326,85,618,"F: FIFA MKT"
2015-11-17,"New Visitor",151245,151245,255790,11735262,54233,21054,14981,53,1790,"F: FIFA MKT"
2015-11-17,"Returning Visitor",78824,100549,232850,25126142,50823,22322,4070,21,479,"F: FIFA MKT"
2015-11-18,"New Visitor",176806,176806,289320,13219881,81403,22130,13723,32,1822,"F: FIFA MKT"
2015-11-18,"Returning Visitor",119930,145214,299176,26962945,85537,26797,3910,32,607,"F: FIFA MKT"
2015-11-19,"New Visitor",154132,154132,254149,11866551,60338,20425,14469,43,1790,"F: FIFA MKT"
2015-11-19,"Returning Visitor",83363,104960,236696,23495180,54744,22290,3655,43,437,"F: FIFA MKT"
2015-11-20,"New Visitor",162145,162145,270589,12886673,59837,22471,16131,96,1577,"F: FIFA MKT"
2015-11-20,"Returning Visitor",82234,105589,239371,25325611,53317,24208,4049,32,682,"F: FIFA MKT"
2015-11-21,"New Visitor",182027,182027,309032,13953624,72389,26019,23025,139,2163,"F: FIFA MKT"
2015-11-21,"Returning Visitor",91770,118428,264591,24117399,62064,26019,6340,64,820,"F: FIFA MKT"
2015-11-22,"New Visitor",183625,183625,316437,14624546,72080,26243,20340,107,2280,"F: FIFA MKT"
2015-11-22,"Returning Visitor",91642,117373,270834,24289058,60338,26658,5999,53,661,"F: FIFA MKT"
2015-11-23,"New Visitor",158884,158884,275182,12247961,60871,23515,18177,53,1705,"F: FIFA MKT"
2015-11-23,"Returning Visitor",88126,112898,261149,25560901,55224,26829,5658,75,799,"F: FIFA MKT"
2015-11-24,"New Visitor",172640,172640,298888,14220750,62885,24975,19903,160,2152,"F: FIFA MKT"
2015-11-24,"Returning Visitor",99889,131001,310108,28302008,59901,32092,9323,75,1129,"F: FIFA MKT"
2015-11-25,"New Visitor",209069,209069,335914,13188513,94018,25049,18582,75,2088,"F: FIFA MKT"
2015-11-25,"Returning Visitor",145438,175889,344800,28334772,104928,30494,7352,85,959,"F: FIFA MKT"
2015-11-26,"New Visitor",186779,186779,310183,14311774,74648,24229,21960,75,2536,"F: FIFA MKT"
